date,department,new_inpatient_admissions,new_outpatients,new_icu_admissions,post_op_complications,complications_rate,avg_length_of_stay,patients_per_doctor,consultations_per_shift,patient_satisfaction_score,bed_occupancy,diagnosis_name,diagnosis_inpatient_volume,diagnosis_outpatient_volume,diagnosis_cost,readmissions,readmission_rate,nurse_to_patient_ratio,ot_slots_available,ot_slots_used,ot_utilization_rate,ed_visit_volume,ed_wait_time
25-Jan-2025,Cardiology,0,36,0,0,0,1.6,13,9,4.72,76,Dyslipidemia,0,36,90000,0,0,0.25,0,0,0,47,76
25-Jan-2025,Pulmonology,17,0,2,0,0,7,13,4,4.68,86,COPD,17,0,140063,0,0,0.22,0,0,0,44,108
25-Jan-2025,Pulmonology,15,0,2,1,6.67,6.7,12,4,4.83,72,Pneumonia,15,0,141225,1,6.67,0.32,0,0,0,33,20
25-Jan-2025,Pulmonology,3,17,0,1,33.33,6.3,20,4,4.88,84,Asthma,3,17,53518,1,33.33,0.23,0,0,0,43,70
25-Jan-2025,Pulmonology,0,42,0,0,0,1.8,21,12,3.88,81,Bronchitis,0,42,71400,0,0,0.27,0,0,0,25,38
25-Jan-2025,Pulmonology,13,0,2,1,7.69,7.5,19,11,3.79,71,Tuberculosis,13,0,136916,1,7.69,0.29,0,0,0,60,110
25-Jan-2025,Pulmonology,0,25,0,0,0,1.1,20,9,3.74,67,Allergic Rhinitis,0,25,42500,0,0,0.31,0,0,0,57,87
26-Jan-2025,General Medicine,19,0,3,3,15.79,5.4,12,8,4.75,79,Sepsis,19,0,127718,1,5.26,0.31,0,0,0,40,29
26-Jan-2025,General Medicine,15,0,2,2,13.33,4.4,13,9,4.32,66,Hypertension Crisis,15,0,98025,0,0,0.28,0,0,0,33,33
26-Jan-2025,General Medicine,4,0,0,0,0,4.2,18,4,4.29,94,Pneumonia,4,0,26560,0,0,0.19,0,0,0,52,23
26-Jan-2025,General Medicine,0,31,0,0,0,1.2,18,12,4.78,86,Diabetes,0,31,46500,0,0,0.28,0,0,0,64,78
26-Jan-2025,General Medicine,0,18,0,0,0,1.5,15,10,3.53,74,Hypertension,0,18,27000,0,0,0.33,0,0,0,42,78
26-Jan-2025,General Medicine,10,13,1,1,10,3.2,20,7,3.81,87,Fever,10,13,82410,1,10,0.3,0,0,0,83,88
26-Jan-2025,General Medicine,0,17,0,0,0,0.7,26,5,3.95,78,Anemia,0,17,25500,0,0,0.17,0,0,0,33,90
26-Jan-2025,General Surgery,10,0,1,0,0,4.6,12,9,4.58,76,Appendicitis,10,0,124060,0,0,0.32,12,7,58.33,5,10
26-Jan-2025,General Surgery,20,0,1,1,5,4.5,26,5,3.53,92,Gallstones,20,0,201720,0,0,0.32,8,6,75,15,29
26-Jan-2025,General Surgery,11,0,1,1,9.09,4,21,6,4.24,85,Hernia,11,0,129921,0,0,0.17,6,4,66.67,25,17
26-Jan-2025,General Surgery,0,40,0,0,0,0.7,20,5,4.78,91,Wound Care,0,40,80000,0,0,0.24,8,5,62.5,9,33
26-Jan-2025,General Surgery,0,24,0,0,0,1,24,6,4.79,65,Surgical Consult,0,24,48000,0,0,0.28,9,6,66.67,25,18
26-Jan-2025,General Surgery,12,0,1,0,0,5.7,15,7,3.72,78,Post-op Infection,12,0,156000,0,0,0.27,11,11,100,16,37
26-Jan-2025,Nephrology,6,0,1,1,16.67,3.7,14,12,3.98,91,CKD,6,0,65160,0,0,0.18,0,0,0,6,49
26-Jan-2025,Nephrology,7,0,0,0,0,5.2,21,7,4.83,83,AKI,7,0,71806,1,14.29,0.21,0,0,0,5,57
26-Jan-2025,Nephrology,0,21,0,0,0,1.6,16,7,3.78,70,Hemodialysis,0,21,37800,0,0,0.21,0,0,0,14,15
26-Jan-2025,Nephrology,7,19,0,1,14.29,3.3,24,5,4.65,67,UTI,7,19,114504,0,0,0.18,0,0,0,8,17
26-Jan-2025,Nephrology,13,0,2,0,0,5.5,23,11,4.65,70,Renal Calculi,13,0,137241,1,7.69,0.24,0,0,0,22,26
26-Jan-2025,Nephrology,0,30,0,0,0,0.6,22,8,3.68,75,Follow-up Nephropathy,0,30,54000,0,0,0.32,0,0,0,9,36
26-Jan-2025,Neurology,3,0,0,1,33.33,3.8,14,7,4.74,79,Stroke,3,0,38850,1,33.33,0.21,0,0,0,18,42
26-Jan-2025,Neurology,3,17,0,0,0,4.3,12,8,3.84,91,Epilepsy,3,17,65753,1,33.33,0.27,0,0,0,25,17
26-Jan-2025,Neurology,0,38,0,0,0,0.7,19,9,4.59,89,Migraine,0,38,83600,0,0,0.22,0,0,0,7,27
26-Jan-2025,Neurology,0,28,0,0,0,1.5,19,5,4.77,87,Neuropathy,0,28,61600,0,0,0.26,0,0,0,20,39
26-Jan-2025,Neurology,7,0,0,0,0,7.3,20,5,4.82,81,Meningitis,7,0,90237,0,0,0.27,0,0,0,22,28
26-Jan-2025,Neurology,0,14,0,0,0,1.6,25,4,4.27,73,Parkinsonism,0,14,30800,0,0,0.22,0,0,0,5,22
26-Jan-2025,Gynecology & OBG,5,0,0,1,20,7.4,28,7,4,95,Normal Delivery,5,0,48660,0,0,0.29,13,8,61.54,17,23
26-Jan-2025,Gynecology & OBG,3,0,0,0,0,3.5,21,8,4.66,95,C-Section,3,0,34365,1,33.33,0.26,11,5,45.45,21,25
26-Jan-2025,Gynecology & OBG,0,29,0,0,0,1.6,22,6,4.23,82,PCOS,0,29,58000,0,0,0.18,12,2,16.67,9,57
26-Jan-2025,Gynecology & OBG,0,40,0,0,0,1.8,26,9,3.59,66,Antenatal Checkup,0,40,80000,0,0,0.28,13,7,53.85,6,32
26-Jan-2025,Gynecology & OBG,3,0,0,1,33.33,3.5,23,11,3.8,88,Fibroid Uterus,3,0,29757,0,0,0.18,13,4,30.77,25,21
26-Jan-2025,Gynecology & OBG,0,10,0,0,0,1.5,17,7,4.48,65,Menstrual Disorder,0,10,20000,0,0,0.27,10,7,70,14,43
26-Jan-2025,Pediatrics,10,25,1,1,10,6,22,10,4.53,73,Asthma,10,25,105390,0,0,0.26,0,0,0,47,43
26-Jan-2025,Pediatrics,0,11,0,0,0,1,22,4,4.47,86,Fever,0,11,17600,0,0,0.31,0,0,0,79,113
26-Jan-2025,Pediatrics,3,16,0,1,33.33,5.7,22,9,4.2,90,Diarrhea,3,16,55510,0,0,0.19,0,0,0,60,102
26-Jan-2025,Pediatrics,20,0,2,1,5,5.7,12,7,4.46,80,Pneumonia,20,0,136860,2,10,0.18,0,0,0,50,45
26-Jan-2025,Pediatrics,19,0,1,0,0,4.4,21,6,4.38,85,Malnutrition,19,0,164996,0,0,0.23,0,0,0,72,43
26-Jan-2025,Pediatrics,0,49,0,0,0,1.2,15,11,3.66,65,Anemia,0,49,78400,0,0,0.24,0,0,0,32,78
26-Jan-2025,Orthopedics,13,0,1,1,7.69,6.7,24,4,4.81,69,Fracture,13,0,166062,0,0,0.3,15,13,86.67,23,6
26-Jan-2025,Orthopedics,0,18,0,0,0,1.2,17,5,4.62,65,Osteoarthritis,0,18,37800,0,0,0.26,7,6,85.71,13,35
26-Jan-2025,Orthopedics,0,49,0,0,0,0.8,25,5,3.96,80,Back Pain,0,49,102900,0,0,0.18,13,3,23.08,14,48
26-Jan-2025,Orthopedics,10,0,0,1,10,7.9,23,11,4.01,77,Joint Replacement,10,0,136310,0,0,0.18,13,4,30.77,15,37
26-Jan-2025,Orthopedics,2,15,0,1,50,6.2,24,9,3.66,72,Sports Injury,2,15,63252,0,0,0.25,10,0,0,16,46
26-Jan-2025,Orthopedics,4,0,0,0,0,5,28,8,3.69,95,Spinal Disorder,4,0,58484,1,25,0.33,11,5,45.45,10,52
26-Jan-2025,Cardiology,13,0,1,0,0,6.3,21,11,3.91,92,Myocardial Infarction,13,0,196235,1,7.69,0.32,0,0,0,65,52
26-Jan-2025,Cardiology,9,0,1,1,11.11,4.6,15,8,3.9,82,Heart Failure,9,0,168030,0,0,0.17,0,0,0,43,33
26-Jan-2025,Cardiology,9,18,0,1,11.11,5.7,28,10,3.75,83,Arrhythmia,9,18,188307,0,0,0.31,0,0,0,70,103
26-Jan-2025,Cardiology,0,49,0,0,0,1.4,15,12,3.84,74,Hypertension,0,49,122500,0,0,0.28,0,0,0,70,120
26-Jan-2025,Cardiology,0,41,0,0,0,1.1,18,5,4.75,92,Stable Angina,0,41,102500,0,0,0.3,0,0,0,25,26
26-Jan-2025,Cardiology,0,45,0,0,0,1.3,17,4,3.63,80,Dyslipidemia,0,45,112500,0,0,0.21,0,0,0,34,119
26-Jan-2025,Pulmonology,13,0,1,2,15.38,4.2,24,9,4.76,88,COPD,13,0,110396,0,0,0.17,0,0,0,72,84
26-Jan-2025,Pulmonology,16,0,2,2,12.5,5.1,22,4,4.53,82,Pneumonia,16,0,159152,1,6.25,0.25,0,0,0,65,55
26-Jan-2025,Pulmonology,3,14,0,0,0,6,28,6,3.67,73,Asthma,3,14,44839,0,0,0.23,0,0,0,74,113
26-Jan-2025,Pulmonology,0,41,0,0,0,2,24,8,3.79,67,Bronchitis,0,41,69700,0,0,0.33,0,0,0,88,16
26-Jan-2025,Pulmonology,9,0,1,0,0,7.2,19,12,4.27,88,Tuberculosis,9,0,72441,1,11.11,0.28,0,0,0,88,115
26-Jan-2025,Pulmonology,0,27,0,0,0,1.5,22,10,3.54,82,Allergic Rhinitis,0,27,45900,0,0,0.2,0,0,0,32,108
27-Jan-2025,General Medicine,19,0,2,0,0,7.2,22,6,4.46,79,Sepsis,19,0,138909,2,10.53,0.16,0,0,0,79,61
27-Jan-2025,General Medicine,14,0,1,2,14.29,6,23,7,4.4,89,Hypertension Crisis,14,0,82950,1,7.14,0.17,0,0,0,52,39
27-Jan-2025,General Medicine,4,0,0,1,25,3.6,25,9,3.78,92,Pneumonia,4,0,28988,1,25,0.32,0,0,0,83,114
27-Jan-2025,General Medicine,0,41,0,0,0,1.6,27,4,3.64,71,Diabetes,0,41,61500,0,0,0.2,0,0,0,58,68
27-Jan-2025,General Medicine,0,48,0,0,0,1,22,8,3.77,92,Hypertension,0,48,72000,0,0,0.3,0,0,0,28,109
27-Jan-2025,General Medicine,11,21,0,1,9.09,3.1,14,9,4.8,86,Fever,11,21,118939,0,0,0.25,0,0,0,62,14
27-Jan-2025,General Medicine,0,11,0,0,0,1.6,25,12,4.63,67,Anemia,0,11,16500,0,0,0.24,0,0,0,55,78
27-Jan-2025,General Surgery,14,0,2,2,14.29,4.5,14,9,4.88,92,Appendicitis,14,0,150906,0,0,0.19,14,4,28.57,10,54
27-Jan-2025,General Surgery,20,0,3,0,0,4,22,10,3.5,69,Gallstones,20,0,211260,3,15,0.19,5,4,80,18,10
27-Jan-2025,General Surgery,19,0,2,1,5.26,3.4,21,5,4.55,91,Hernia,19,0,249261,2,10.53,0.29,14,1,7.14,25,20
27-Jan-2025,General Surgery,0,13,0,0,0,0.8,21,9,4.43,91,Wound Care,0,13,26000,0,0,0.32,8,2,25,10,8
27-Jan-2025,General Surgery,0,24,0,0,0,1.2,19,11,4.73,67,Surgical Consult,0,24,48000,0,0,0.23,13,10,76.92,8,44
27-Jan-2025,General Surgery,3,0,0,1,33.33,5.1,25,9,3.94,71,Post-op Infection,3,0,31842,1,33.33,0.16,6,4,66.67,6,59
27-Jan-2025,Nephrology,7,0,0,1,14.29,4.6,17,8,4.17,76,CKD,7,0,80794,1,14.29,0.19,0,0,0,20,36
27-Jan-2025,Nephrology,12,0,2,0,0,7.9,17,4,4.4,79,AKI,12,0,102972,1,8.33,0.2,0,0,0,19,44
27-Jan-2025,Nephrology,0,32,0,0,0,1.5,24,6,4.42,70,Hemodialysis,0,32,57600,0,0,0.3,0,0,0,10,58
27-Jan-2025,Nephrology,4,6,0,0,0,6.4,28,11,4.65,69,UTI,4,6,52728,1,25,0.21,0,0,0,21,57
27-Jan-2025,Nephrology,12,0,2,2,16.67,4.7,27,11,3.58,87,Renal Calculi,12,0,117348,0,0,0.18,0,0,0,16,33
27-Jan-2025,Nephrology,0,45,0,0,0,1.9,17,9,4.22,68,Follow-up Nephropathy,0,45,81000,0,0,0.19,0,0,0,5,5
27-Jan-2025,Neurology,4,0,0,1,25,3.4,20,9,3.77,70,Stroke,4,0,36544,0,0,0.22,0,0,0,17,47
27-Jan-2025,Neurology,7,25,1,1,14.29,6.1,21,12,3.53,82,Epilepsy,7,25,134457,0,0,0.22,0,0,0,11,15
27-Jan-2025,Neurology,0,21,0,0,0,2,21,11,3.67,84,Migraine,0,21,46200,0,0,0.32,0,0,0,5,49
27-Jan-2025,Neurology,0,44,0,0,0,1.6,21,8,4.11,71,Neuropathy,0,44,96800,0,0,0.18,0,0,0,20,47
27-Jan-2025,Neurology,16,0,3,0,0,5.1,23,9,4.21,85,Meningitis,16,0,221536,0,0,0.32,0,0,0,7,44
27-Jan-2025,Neurology,0,40,0,0,0,0.6,14,4,4.26,89,Parkinsonism,0,40,88000,0,0,0.26,0,0,0,20,9
27-Jan-2025,Gynecology & OBG,14,0,1,2,14.29,5.8,22,4,4.86,80,Normal Delivery,14,0,100170,1,7.14,0.27,11,6,54.55,5,17
27-Jan-2025,Gynecology & OBG,15,0,2,2,13.33,7.8,12,11,4.11,83,C-Section,15,0,165030,1,6.67,0.2,7,0,0,11,14
27-Jan-2025,Gynecology & OBG,0,48,0,0,0,1.8,22,12,4.82,71,PCOS,0,48,96000,0,0,0.17,13,5,38.46,11,19
27-Jan-2025,Gynecology & OBG,0,20,0,0,0,1.9,14,8,4.17,91,Antenatal Checkup,0,20,40000,0,0,0.22,7,2,28.57,21,31
27-Jan-2025,Gynecology & OBG,14,0,2,0,0,3,23,7,3.95,75,Fibroid Uterus,14,0,102354,0,0,0.25,7,2,28.57,20,8
27-Jan-2025,Gynecology & OBG,0,21,0,0,0,0.7,15,7,4.23,88,Menstrual Disorder,0,21,42000,0,0,0.32,15,7,46.67,20,24
27-Jan-2025,Pediatrics,4,13,0,1,25,5.8,24,5,4.41,75,Asthma,4,13,55420,0,0,0.19,0,0,0,65,112
27-Jan-2025,Pediatrics,0,41,0,0,0,1.1,26,4,4.43,70,Fever,0,41,65600,0,0,0.33,0,0,0,49,16
27-Jan-2025,Pediatrics,3,25,0,1,33.33,6.1,18,9,4.41,89,Diarrhea,3,25,67318,0,0,0.22,0,0,0,72,114
27-Jan-2025,Pediatrics,19,0,3,3,15.79,5.9,12,12,4.57,93,Pneumonia,19,0,182837,2,10.53,0.22,0,0,0,26,30
27-Jan-2025,Pediatrics,17,0,3,1,5.88,7.3,19,12,4.42,73,Malnutrition,17,0,132736,1,5.88,0.28,0,0,0,48,57
27-Jan-2025,Pediatrics,0,35,0,0,0,1.7,19,6,4.13,68,Anemia,0,35,56000,0,0,0.22,0,0,0,60,15
27-Jan-2025,Orthopedics,11,0,0,0,0,3.8,20,12,4.89,92,Fracture,11,0,156992,1,9.09,0.23,10,2,20,23,20
27-Jan-2025,Orthopedics,0,10,0,0,0,0.8,20,12,3.89,86,Osteoarthritis,0,10,21000,0,0,0.28,6,5,83.33,17,59
27-Jan-2025,Orthopedics,0,37,0,0,0,1.6,23,9,4.32,72,Back Pain,0,37,77700,0,0,0.17,8,8,100,14,21
27-Jan-2025,Orthopedics,13,0,0,0,0,4.1,18,5,3.57,76,Joint Replacement,13,0,166023,1,7.69,0.26,13,9,69.23,14,52
27-Jan-2025,Orthopedics,10,5,1,0,0,6.5,15,7,4.51,66,Sports Injury,10,5,135700,0,0,0.28,12,4,33.33,19,9
27-Jan-2025,Orthopedics,6,0,0,1,16.67,7.7,14,12,4.44,85,Spinal Disorder,6,0,72690,0,0,0.2,11,5,45.45,25,5
27-Jan-2025,Cardiology,6,0,0,1,16.67,7.6,23,6,3.63,81,Myocardial Infarction,6,0,116868,0,0,0.27,0,0,0,38,41
27-Jan-2025,Cardiology,15,0,2,1,6.67,4.8,18,8,3.55,95,Heart Failure,15,0,292335,2,13.33,0.21,0,0,0,69,107
27-Jan-2025,Cardiology,4,25,0,0,0,7.6,23,12,4.26,80,Arrhythmia,4,25,126628,1,25,0.17,0,0,0,79,14
27-Jan-2025,Cardiology,0,41,0,0,0,1.1,28,10,3.96,69,Hypertension,0,41,102500,0,0,0.27,0,0,0,31,52
27-Jan-2025,Cardiology,0,13,0,0,0,0.8,14,4,4.44,91,Stable Angina,0,13,32500,0,0,0.18,0,0,0,40,88
27-Jan-2025,Cardiology,0,10,0,0,0,0.9,23,6,4.26,84,Dyslipidemia,0,10,25000,0,0,0.17,0,0,0,30,98
27-Jan-2025,Pulmonology,17,0,2,0,0,6.2,20,6,3.89,84,COPD,17,0,195551,2,11.76,0.28,0,0,0,65,37
27-Jan-2025,Pulmonology,17,0,1,2,11.76,7.5,28,12,4.28,87,Pneumonia,17,0,195568,0,0,0.21,0,0,0,62,52
27-Jan-2025,Pulmonology,5,18,0,0,0,3.4,25,5,4.9,89,Asthma,5,18,83885,1,20,0.3,0,0,0,85,113
27-Jan-2025,Pulmonology,0,30,0,0,0,0.7,15,12,3.75,85,Bronchitis,0,30,51000,0,0,0.18,0,0,0,86,66
27-Jan-2025,Pulmonology,12,0,2,2,16.67,3,21,7,3.75,81,Tuberculosis,12,0,124908,1,8.33,0.29,0,0,0,46,30
27-Jan-2025,Pulmonology,0,43,0,0,0,1.8,22,11,4.07,83,Allergic Rhinitis,0,43,73100,0,0,0.31,0,0,0,66,65
28-Jan-2025,General Medicine,9,0,0,0,0,5.4,28,11,4.63,93,Sepsis,9,0,52551,0,0,0.17,0,0,0,47,117
28-Jan-2025,General Medicine,12,0,1,0,0,5.5,25,12,4.47,69,Hypertension Crisis,12,0,80700,1,8.33,0.23,0,0,0,60,15
28-Jan-2025,General Medicine,8,0,1,0,0,5.7,21,4,4.77,65,Pneumonia,8,0,57328,1,12.5,0.21,0,0,0,25,30
28-Jan-2025,General Medicine,0,11,0,0,0,1,26,4,3.65,65,Diabetes,0,11,16500,0,0,0.27,0,0,0,82,39
28-Jan-2025,General Medicine,0,39,0,0,0,0.5,14,7,3.81,78,Hypertension,0,39,58500,0,0,0.24,0,0,0,38,101
28-Jan-2025,General Medicine,8,15,1,0,0,5.1,14,11,3.91,69,Fever,8,15,76756,0,0,0.16,0,0,0,39,65
28-Jan-2025,General Medicine,0,47,0,0,0,1,28,9,4.5,93,Anemia,0,47,70500,0,0,0.19,0,0,0,49,35
28-Jan-2025,General Surgery,16,0,3,1,6.25,6.6,13,10,4.59,95,Appendicitis,16,0,179440,1,6.25,0.3,10,6,60,9,58
28-Jan-2025,General Surgery,4,0,0,0,0,5.2,21,10,3.57,79,Gallstones,4,0,42132,0,0,0.28,13,2,15.38,7,55
28-Jan-2025,General Surgery,14,0,2,2,14.29,7.3,28,9,4.36,81,Hernia,14,0,193060,2,14.29,0.28,6,5,83.33,5,5
28-Jan-2025,General Surgery,0,11,0,0,0,0.9,13,11,4.21,71,Wound Care,0,11,22000,0,0,0.23,8,3,37.5,22,32
28-Jan-2025,General Surgery,0,26,0,0,0,1.5,14,7,4.28,71,Surgical Consult,0,26,52000,0,0,0.23,8,2,25,6,27
28-Jan-2025,General Surgery,17,0,3,2,11.76,4.1,28,8,4.43,75,Post-op Infection,17,0,213367,1,5.88,0.29,7,1,14.29,15,14
28-Jan-2025,Nephrology,5,0,0,1,20,3.5,16,7,3.98,82,CKD,5,0,44105,1,20,0.21,0,0,0,19,17
28-Jan-2025,Nephrology,19,0,3,1,5.26,6.2,23,9,3.67,73,AKI,19,0,163096,2,10.53,0.31,0,0,0,6,49
28-Jan-2025,Nephrology,0,16,0,0,0,1.1,28,11,3.91,88,Hemodialysis,0,16,28800,0,0,0.24,0,0,0,10,6
28-Jan-2025,Nephrology,11,9,0,0,0,5.4,20,12,4.69,78,UTI,11,9,115827,0,0,0.18,0,0,0,10,46
28-Jan-2025,Nephrology,4,0,0,1,25,7.4,14,7,4.86,92,Renal Calculi,4,0,35412,0,0,0.22,0,0,0,13,25
28-Jan-2025,Nephrology,0,37,0,0,0,1.3,17,12,3.52,85,Follow-up Nephropathy,0,37,66600,0,0,0.32,0,0,0,15,20
28-Jan-2025,Neurology,10,0,1,0,0,7.6,16,7,3.5,79,Stroke,10,0,124240,0,0,0.2,0,0,0,20,40
28-Jan-2025,Neurology,3,6,0,0,0,3.3,13,12,4.28,73,Epilepsy,3,6,43704,0,0,0.21,0,0,0,14,32
28-Jan-2025,Neurology,0,13,0,0,0,1.5,14,12,4,85,Migraine,0,13,28600,0,0,0.22,0,0,0,12,54
28-Jan-2025,Neurology,0,24,0,0,0,0.5,27,10,4.9,86,Neuropathy,0,24,52800,0,0,0.29,0,0,0,8,14
28-Jan-2025,Neurology,10,0,1,1,10,7.8,18,5,4.52,66,Meningitis,10,0,137560,1,10,0.27,0,0,0,6,19
28-Jan-2025,Neurology,0,25,0,0,0,0.6,23,10,4.82,67,Parkinsonism,0,25,55000,0,0,0.26,0,0,0,23,57
28-Jan-2025,Gynecology & OBG,6,0,1,0,0,7.7,18,6,3.54,87,Normal Delivery,6,0,63648,0,0,0.33,6,6,100,11,12
28-Jan-2025,Gynecology & OBG,9,0,0,1,11.11,4.3,22,10,4.5,72,C-Section,9,0,69021,1,11.11,0.28,12,0,0,21,18
28-Jan-2025,Gynecology & OBG,0,23,0,0,0,0.8,22,6,3.93,66,PCOS,0,23,46000,0,0,0.18,10,7,70,21,30
28-Jan-2025,Gynecology & OBG,0,49,0,0,0,1.8,13,6,4.73,65,Antenatal Checkup,0,49,98000,0,0,0.3,6,2,33.33,11,13
28-Jan-2025,Gynecology & OBG,20,0,2,3,15,5.5,21,6,3.79,66,Fibroid Uterus,20,0,153400,1,5,0.24,9,7,77.78,24,7
28-Jan-2025,Gynecology & OBG,0,13,0,0,0,1.2,26,4,4.11,73,Menstrual Disorder,0,13,26000,0,0,0.25,15,15,100,22,60
28-Jan-2025,Pediatrics,12,23,0,2,16.67,4.5,28,11,3.59,81,Asthma,12,23,139304,0,0,0.32,0,0,0,36,101
28-Jan-2025,Pediatrics,0,49,0,0,0,1.1,18,4,3.97,95,Fever,0,49,78400,0,0,0.17,0,0,0,80,105
28-Jan-2025,Pediatrics,8,22,1,0,0,4.9,23,6,3.75,93,Diarrhea,8,22,103304,1,12.5,0.28,0,0,0,40,18
28-Jan-2025,Pediatrics,6,0,1,1,16.67,7.5,23,5,3.7,94,Pneumonia,6,0,38118,1,16.67,0.21,0,0,0,70,34
28-Jan-2025,Pediatrics,4,0,0,0,0,6,28,6,4.64,86,Malnutrition,4,0,33864,1,25,0.25,0,0,0,65,27
28-Jan-2025,Pediatrics,0,48,0,0,0,1.8,23,6,4.26,88,Anemia,0,48,76800,0,0,0.17,0,0,0,56,61
28-Jan-2025,Orthopedics,20,0,3,3,15,4.4,26,7,4.38,85,Fracture,20,0,264180,3,15,0.23,15,1,6.67,23,44
28-Jan-2025,Orthopedics,0,26,0,0,0,1,28,7,4.2,70,Osteoarthritis,0,26,54600,0,0,0.24,6,1,16.67,25,42
28-Jan-2025,Orthopedics,0,26,0,0,0,0.6,17,9,4.9,68,Back Pain,0,26,54600,0,0,0.23,7,4,57.14,19,12
28-Jan-2025,Orthopedics,6,0,0,0,0,5.1,25,12,4.58,72,Joint Replacement,6,0,72804,1,16.67,0.25,9,8,88.89,9,38
28-Jan-2025,Orthopedics,4,16,0,1,25,4.9,20,8,4.88,95,Sports Injury,4,16,97260,1,25,0.19,6,4,66.67,18,18
28-Jan-2025,Orthopedics,3,0,0,0,0,4.8,26,6,4.71,75,Spinal Disorder,3,0,42711,1,33.33,0.2,12,5,41.67,9,41
28-Jan-2025,Cardiology,3,0,0,0,0,3.3,21,11,4,78,Myocardial Infarction,3,0,63351,1,33.33,0.25,0,0,0,58,78
28-Jan-2025,Cardiology,14,0,2,2,14.29,4,13,4,4.39,93,Heart Failure,14,0,247646,0,0,0.21,0,0,0,81,41
28-Jan-2025,Cardiology,7,11,1,1,14.29,3.3,25,11,4.44,78,Arrhythmia,7,11,179008,0,0,0.24,0,0,0,68,34
28-Jan-2025,Cardiology,0,13,0,0,0,1.9,23,5,3.61,88,Hypertension,0,13,32500,0,0,0.22,0,0,0,39,58
28-Jan-2025,Cardiology,0,32,0,0,0,0.6,27,5,3.83,71,Stable Angina,0,32,80000,0,0,0.25,0,0,0,41,38
28-Jan-2025,Cardiology,0,17,0,0,0,1.7,22,6,4.17,69,Dyslipidemia,0,17,42500,0,0,0.22,0,0,0,75,44
28-Jan-2025,Pulmonology,7,0,0,0,0,7,15,7,4.33,88,COPD,7,0,61355,1,14.29,0.31,0,0,0,46,36
28-Jan-2025,Pulmonology,13,0,1,2,15.38,7.4,22,10,4.26,82,Pneumonia,13,0,139321,1,7.69,0.32,0,0,0,52,93
28-Jan-2025,Pulmonology,7,23,1,1,14.29,4.3,20,4,4.11,76,Asthma,7,23,92909,0,0,0.23,0,0,0,78,99
28-Jan-2025,Pulmonology,0,29,0,0,0,1.2,26,5,4.14,93,Bronchitis,0,29,49300,0,0,0.29,0,0,0,27,117
28-Jan-2025,Pulmonology,5,0,0,1,20,6.9,18,12,4.15,95,Tuberculosis,5,0,44925,1,20,0.25,0,0,0,56,48
28-Jan-2025,Pulmonology,0,43,0,0,0,0.9,23,11,4.24,66,Allergic Rhinitis,0,43,73100,0,0,0.27,0,0,0,32,70
29-Jan-2025,General Medicine,16,0,1,0,0,6.2,17,9,4.86,78,Sepsis,16,0,91136,0,0,0.32,0,0,0,68,70
29-Jan-2025,General Medicine,12,0,1,0,0,7.2,21,12,4.25,92,Hypertension Crisis,12,0,75372,1,8.33,0.21,0,0,0,73,77
29-Jan-2025,General Medicine,11,0,1,0,0,6.8,27,5,3.99,77,Pneumonia,11,0,81103,0,0,0.29,0,0,0,34,10
29-Jan-2025,General Medicine,0,16,0,0,0,1.4,19,12,3.5,68,Diabetes,0,16,24000,0,0,0.3,0,0,0,81,33
29-Jan-2025,General Medicine,0,47,0,0,0,1.9,21,5,3.77,84,Hypertension,0,47,70500,0,0,0.16,0,0,0,90,62
29-Jan-2025,General Medicine,6,12,0,0,0,7.1,16,11,4.67,93,Fever,6,12,64896,1,16.67,0.3,0,0,0,57,91
29-Jan-2025,General Medicine,0,10,0,0,0,0.8,26,12,3.51,77,Anemia,0,10,15000,0,0,0.32,0,0,0,35,116
29-Jan-2025,General Surgery,3,0,0,0,0,5.8,12,9,4.32,77,Appendicitis,3,0,36699,1,33.33,0.2,8,3,37.5,5,25
29-Jan-2025,General Surgery,11,0,1,1,9.09,3.4,20,8,4.23,67,Gallstones,11,0,153461,1,9.09,0.27,10,10,100,11,11
29-Jan-2025,General Surgery,7,0,0,1,14.29,6.2,12,6,4.58,86,Hernia,7,0,94248,1,14.29,0.18,13,9,69.23,10,29
29-Jan-2025,General Surgery,0,48,0,0,0,1.3,15,12,4.42,87,Wound Care,0,48,96000,0,0,0.23,11,10,90.91,5,9
29-Jan-2025,General Surgery,0,28,0,0,0,0.6,19,6,3.55,70,Surgical Consult,0,28,56000,0,0,0.23,13,4,30.77,22,49
29-Jan-2025,General Surgery,4,0,0,0,0,7.5,23,6,4.3,76,Post-op Infection,4,0,52356,0,0,0.32,12,12,100,10,28
29-Jan-2025,Nephrology,12,0,0,1,8.33,7.3,21,9,4.43,92,CKD,12,0,136776,1,8.33,0.18,0,0,0,17,14
29-Jan-2025,Nephrology,13,0,1,1,7.69,5.7,23,11,4.56,79,AKI,13,0,115115,0,0,0.32,0,0,0,22,29
29-Jan-2025,Nephrology,0,41,0,0,0,0.5,28,7,4.01,92,Hemodialysis,0,41,73800,0,0,0.23,0,0,0,24,36
29-Jan-2025,Nephrology,9,17,0,1,11.11,4.3,14,10,3.89,67,UTI,9,17,131769,0,0,0.22,0,0,0,21,17
